Timestamp,First Type of Candy,What is the cost of this type of candy on Walmart.com?(please enter as a float and without money signs),Second Type of Candy,What is the cost of this type of candy on Walmart.com? (please enter as a float and without money signs)
9/13/2021 11:51,Almond Joy,1.96,Reece's,2.06
9/13/2021 12:48,Reeses,1.48,Lifesavers,5.28
9/13/2021 12:51,Hershey's Special Dark Zero Sugar Chocolate Bar,2.48,Great Value Peach Rings,0.98
9/13/2021 12:56,Snickers ,1,Reeses take 5,2.98
9/13/2021 13:02,Reese's ,23.87,Kit Kats,9.94
9/13/2021 13:35,Almond Joy,1.48,KitKat,1.48
9/14/2021 9:19,Skittles,3.28,Starburst,9.98
9/14/2021 9:23,reeces,1.2,snickers,1.16
9/14/2021 9:26,3 musketeers,1.48,butter finger,0.98
9/14/2021 9:26,Jolly Ranchers,18.69,High chews,20.93
9/14/2021 9:26,mints,1.5,gum,2.99
9/14/2021 9:27,Snickers,0.98,Skittles,9.98
9/14/2021 9:28,Milky Way,0.74,Twix,0.88
9/14/2021 9:29,Skittles (50 oz bag),9.98,Reese's (18 oz bag),4.48
9/14/2021 9:32,Twix,0.88,Hershey's Cookies and Cream,0.88
9/14/2021 9:32,Life savers,3.28,snickers bar,1.48
9/14/2021 9:32,Snickers,0.98,Almond Joy,0.88
9/14/2021 9:35,Snicker ,1.19,Skittles ,1.19
9/14/2021 9:51,Gummy Bears,1,KitKat,1.63
9/14/2021 12:01,heath bar,1.63,whatchamacallit,1.63
9/14/2021 12:53,Skittles,2.28,Hershey's Cookies N Creme,6.36
9/14/2021 12:53,3 musketeers,1.48,M&M's,1.48
9/14/2021 12:57,Reeses,1.96,Sour Patch Kids Watermelon Soft Candy,1
9/14/2021 12:57,Hershey Bar,0.88,Chocolate Chip Cookies,3
9/14/2021 12:58,Reese's Chocolate ,1.48,Hershey's Chocolate,0.88
9/14/2021 12:59,Hersheys Candy Bar,0.88,Good and Plenty,1.48
9/14/2021 13:03,cookie n cream Hershey king size bar ,1.48,Peanut M&Ms share size,2.09
9/14/2021 13:04,Candy Corn ,2.28,Candy Pumkins,2.28
